基金代码,拼音缩写,基金简称,基金类型,拼音全称
000001,HXCZHH,华夏成长混合,混合型-灵活,HUAXIACHENGZHANGHUNHE
000002,HXCZHH,华夏成长混合(后端),混合型-灵活,HUAXIACHENGZHANGHUNHE
000006,XBLDLHCZHHA,西部利得量化成长混合A,混合型-偏股,XIBULIDELIANGHUACHENGZHANGHUNHEA
000011,HXDPJXHHA,华夏大盘精选混合A,混合型-灵活,HUAXIADAPANJINGXUANHUNHEA
000012,HXDPJXHHA,华夏大盘精选混合A(后端),混合型-灵活,HUAXIADAPANJINGXUANHUNHEA
000017,CTKCXHH,财通可持续混合,混合型-偏股,CAITONGKECHIXUHUNHE
000020,JSCCPZTZHHA,景顺长城品质投资混合A,混合型-偏股,JINGSHUNCHANGCHENGPINZHITOUZIHUNHEA
000021,HXYSZZHH,华夏优势增长混合,混合型-偏股,HUAXIAYOUSHIZENGZHANGHUNHE
000029,FGHGCLLHPZHHA,富国宏观策略灵活配置混合A,混合型-灵活,FUGUOHONGGUANCELUELINGHUOPEIZHIHUNHEA
000030,CCHXYXHHA,长城核心优选混合A,混合型-灵活,CHANGCHENGHEXINYOUXUANHUNHEA
000031,HXFXHHA,华夏复兴混合A,混合型-偏股,HUAXIAFUXINGHUNHEA
000039,NYGZZHH,农银高增长混合,混合型-偏股,NONGYINGAOZENGZHANGHUNHE
000056,JXXFSJHH,建信消费升级混合,混合型-灵活,JIANXINXIAOFEISHENGJIHUNHE
000057,ZYXFZTHHA,中银消费主题混合A,混合型-偏股,ZHONGYINXIAOFEIZHUTIHUNHEA
000058,GLAATLHPZHHA,国联安安泰灵活配置混合A,混合型-灵活,GUOLIANANANTAILINGHUOPEIZHIHUNHEA
000061,HXSSHH,华夏盛世混合,混合型-偏股,HUAXIASHENGSHIHUNHE
000063,CSDZXXZTHHA,长盛电子信息主题混合A,混合型-灵活,CHANGSHENGDIANZIXINXIZHUTIHUNHEA
000065,GFJDQDHHA,国富焦点驱动混合A,混合型-灵活,GUOFUJIAODIANQUDONGHUNHEA
000066,NAHXHHA,诺安鸿鑫混合A,混合型-偏股,NUOANHONGXINHUNHEA
000072,HAWJHBHHA,华安稳健回报混合A,混合型-灵活,HUAANWENJIANHUIBAOHUNHEA
000073,MGCZDLHHA,摩根成长动力混合A,混合型-灵活,MOGENCHENGZHANGDONGLIHUNHEA
000082,JSYJAEFGPA,嘉实研究阿尔法股票A,股票型,JIASHIYANJIUAERFAGUPIAOA
000083,HTFXFHYHH,汇添富消费行业混合,混合型-偏股,HUITIANFUXIAOFEIHANGYEHUNHE
000117,GFLDPZHH,广发轮动配置混合,混合型-偏股,GUANGFALUNDONGPEIZHIHUNHE
000120,ZYMLZGHHA,中银美丽中国混合A,混合型-偏股,ZHONGYINMEILIZHONGGUOHUNHEA
000124,HBFWYXHH,华宝服务优选混合,混合型-偏股,HUABAOFUWUYOUXUANHUNHE
000126,ZSARLHPZHHA,招商安润灵活配置混合A,混合型-灵活,ZHAOSHANGANRUNLINGHUOPEIZHIHUNHEA
000127,NYHYLXHH,农银行业领先混合,混合型-偏股,NONGYINHANGYELINGXIANHUNHE
000136,MSJYCLJXHHA,民生加银策略精选混合A,混合型-灵活,MINSHENGJIAYINCELUEJINGXUANHUNHEA
000155,FGTZTSZTLDHHA,富国通胀通缩主题轮动混合A(后端),混合型-偏股,FUGUOTONGZHANGTONGSUOZHUTILUNDONGHUNHEA
000158,FGDTHBHH,富国低碳环保混合(后端),混合型-偏股,FUGUODITANHUANBAOHUNHE
000159,FGGXJSCYHH,富国高新技术产业混合(后端),混合型-偏股,FUGUOGAOXINJISHUCHANYEHUNHE
000161,FGHGCLLHPZHHA,富国宏观策略灵活配置混合A(后端),混合型-灵活,FUGUOHONGGUANCELUELINGHUOPEIZHIHUNHEA
000165,GTRYCLJXHH,国投瑞银策略精选混合,混合型-灵活,GUOTOURUIYINCELUEJINGXUANHUNHE
000166,ZHXXCYHHA,中海信息产业混合A,混合型-偏股,ZHONGHAIXINXICHANYEHUNHEA
000167,GFJYLHPZHHA,广发聚优灵活配置混合A,混合型-灵活,GUANGFAJUYOULINGHUOPEIZHIHUNHEA
000172,HTBRLHZQHHA,华泰柏瑞量化增强混合A,混合型-偏股,HUATAIBAIRUILIANGHUAZENGQIANGHUNHEA
000173,HTFML30HHA,汇添富美丽30混合A,混合型-偏股,HUITIANFUMEILI30HUNHEA
000190,ZYXHBLHPZHHA,中银新回报灵活配置混合A,混合型-灵活,ZHONGYINXINHUIBAOLINGHUOPEIZHIHUNHEA
000195,GYCZSYHHA,工银成长收益混合A,混合型-灵活,GONGYINCHENGZHANGSHOUYIHUNHEA
000196,GYCZSYHHB,工银成长收益混合B,混合型-灵活,GONGYINCHENGZHANGSHOUYIHUNHEB
000199,GTLHCLSYHHA,国泰量化策略收益混合A,混合型-偏股,GUOTAILIANGHUACELUESHOUYIHUNHEA
000209,ZXBCXXCYHHA,中信保诚新兴产业混合A,混合型-偏股,ZHONGXINBAOCHENGXINXINGCHANYEHUNHEA
000214,GFCZYXHH,广发成长优选混合,混合型-灵活,GUANGFACHENGZHANGYOUXUANHUNHE
000215,GFQSYXLHPZHHA,广发趋势优选灵活配置混合A,混合型-灵活,GUANGFAQUSHIYOUXUANLINGHUOPEIZHIHUNHEA
000219,BSYYHHA,博时裕益混合A,混合型-灵活,BOSHIYUYIHUNHEA
000220,FGYLBJHYHHA,富国医疗保健行业混合A,混合型-偏股,FUGUOYILIAOBAOJIANHANGYEHUNHEA
000241,BYHXYSHHC,宝盈核心优势混合C,混合型-灵活,BAOYINGHEXINYOUSHIHUNHEC
000242,JSCCCLJXLHPZHHA,景顺长城策略精选灵活配置混合A,混合型-灵活,JINGSHUNCHANGCHENGCELUEJINGXUANLINGHUOPEIZHIHUNHEA
000251,GYJRDCHHA,工银金融地产混合A,混合型-偏股,GONGYINJINRONGDICHANHUNHEA
000259,NYQJSYHH,农银区间收益混合,混合型-灵活,NONGYINQUJIANSHOUYIHUNHE
000263,GYXXCYHHA,工银信息产业混合A,混合型-偏股,GONGYINXINXICHANYEHUNHEA
000264,BSNXZZHHA,博时内需增长混合A,混合型-灵活,BOSHINEIXUZENGZHANGHUNHEA
000270,JXLHPZHHA,建信灵活配置混合A,混合型-灵活,JIANXINLINGHUOPEIZHIHUNHEA
000273,HRYDAXLHPZHHA,华润元大安鑫灵活配置混合A,混合型-灵活,HUARUNYUANDAANXINLINGHUOPEIZHIHUNHEA
000279,HSHLYXHH,华商红利优选混合,混合型-灵活,HUASHANGHONGLIYOUXUANHUNHE
000294,HASTYXHHA,华安生态优先混合A,混合型-偏股,HUAANSHENGTAIYOUXIANHUNHEA
000308,JXCXZGHH,建信创新中国混合,混合型-偏股,JIANXINCHUANGXINZHONGGUOHUNHE
000309,DMPZSHJXGPA,大摩品质生活精选股票A,股票型,DAMOPINZHISHENGHUOJINGXUANGUPIAOA
000314,ZSRFLHPZHHFQSA,招商瑞丰灵活配置混合发起式A,混合型-灵活,ZHAOSHANGRUIFENGLINGHUOPEIZHIHUNHEFAQISHIA
000326,NFZXPCZGPA,南方中小盘成长股票A,股票型,NANFANGZHONGXIAOPANCHENGZHANGGUPIAOA
000327,NFQLXLCHHA,南方潜力新蓝筹混合A,混合型-偏股,NANFANGQIANLIXINLANCHOUHUNHEA
000328,MGZXDLHHA,摩根转型动力混合A,混合型-灵活,MOGENZHUANXINGDONGLIHUNHEA
000336,NYYJJXHH,农银研究精选混合,混合型-灵活,NONGYINYANJIUJINGXUANHUNHE
000339,CCYLBJHHA,长城医疗保健混合A,混合型-偏股,CHANGCHENGYILIAOBAOJIANHUNHEA
000354,CSCZHZTHHA,长盛城镇化主题混合A,混合型-偏股,CHANGSHENGCHENGZHENHUAZHUTIHUNHEA
000362,GTJXJZYSHHA,国泰聚信价值优势混合A,混合型-灵活,GUOTAIJUXINJIAZHIYOUSHIHUNHEA
000363,GTJXJZYSHHC,国泰聚信价值优势混合C,混合型-灵活,GUOTAIJUXINJIAZHIYOUSHIHUNHEC
000390,HSYSHYHHA,华商优势行业混合A,混合型-灵活,HUASHANGYOUSHIHANGYEHUNHEA
000398,HFLHPZHHA,华富灵活配置混合A,混合型-灵活,HUAFULINGHUOPEIZHIHUNHEA
000404,YFDXXCZLHPZ,易方达新兴成长灵活配置,混合型-灵活,YIFANGDAXINXINGCHENGZHANGLINGHUOPEIZHI
000408,MSJYCZHHHA,民生加银城镇化混合A,混合型-灵活,MINSHENGJIAYINCHENGZHENHUAHUNHEA
000409,PHHBCYGP,鹏华环保产业股票,股票型,PENGHUAHUANBAOCHANYEGUPIAO
000410,YMFWLXHHA,益民服务领先混合A,混合型-灵活,YIMINFUWULINGXIANHUNHEA
000411,JSCCYZCZGPA,景顺长城优质成长股票A,股票型,JINGSHUNCHANGCHENGYOUZHICHENGZHANGGUPIAOA
000417,GLAXJXHHA,国联安新精选混合A,混合型-灵活,GUOLIANANXINJINGXUANHUNHEA
000418,JSCCCZZXGPA,景顺长城成长之星股票A,股票型,JINGSHUNCHANGCHENGCHENGZHANGZHIXINGGUPIAOA
000423,QHKYSJQDHHA,前海开源事件驱动混合A,混合型-灵活,QIANHAIKAIYUANSHIJIANQUDONGHUNHEA
000431,PHPPCCHH,鹏华品牌传承混合,混合型-灵活,PENGHUAPINPAICHUANCHENGHUNHE
000432,ZYYXQYHHA,中银优秀企业混合A,混合型-偏股,ZHONGYINYOUXIUQIYEHUNHEA
000433,AXXFYXHHA,安信鑫发优选混合A,混合型-灵活,ANXINXINFAYOUXUANHUNHEA
000452,NFYYBJLHPZHHA,南方医药保健灵活配置混合A,混合型-灵活,NANFANGYIYAOBAOJIANLINGHUOPEIZHIHUNHEA
000457,MGHXCZGPA,摩根核心成长股票A,股票型,MOGENHEXINCHENGZHANGGUPIAOA
000458,YDLXHBA,英大领先回报A,混合型-灵活,YINGDALINGXIANHUIBAOA
000459,YDLXHBB,英大领先回报B,混合型-灵活,YINGDALINGXIANHUIBAOB
000462,NYZTLDHHA,农银主题轮动混合A,混合型-灵活,NONGYINZHUTILUNDONGHUNHEA
000471,FGCZFZGP,富国城镇发展股票,股票型,FUGUOCHENGZHENFAZHANGUPIAO
000472,FGCZFZGP,富国城镇发展股票(后端),股票型,FUGUOCHENGZHENFAZHANGUPIAO
000477,GFZTLXHHA,广发主题领先混合A,混合型-灵活,GUANGFAZHUTILINGXIANHUNHEA
000480,DFHXDLHHA,东方红新动力混合A,混合型-灵活,DONGFANGHONGXINDONGLIHUNHEA
000496,CACYJXHHA,长安产业精选混合A,混合型-灵活,CHANGANCHANYEJINGXUANHUNHEA
000511,GTGCQDLHPZHHA,国泰国策驱动灵活配置混合A,混合型-灵活,GUOTAIGUOCEQUDONGLINGHUOPEIZHIHUNHEA
000513,FGGDZZHYGPA,富国高端制造行业股票A,股票型,FUGUOGAODUANZHIZAOHANGYEGUPIAOA
000514,FGGDZZHYGPA,富国高端制造行业股票A(后端),股票型,FUGUOGAODUANZHIZAOHANGYEGUPIAOA
000520,SYXXJZCZHHA,上银新兴价值成长混合A,混合型-灵活,SHANGYINXINXINGJIAZHICHENGZHANGHUNHEA
000522,HRYDXXCMKJHHA,华润元大信息传媒科技混合A,混合型-偏股,HUARUNYUANDAXINXICHUANMEIKEJIHUNHEA
000523,GTRYYLBJHHA,国投瑞银医疗保健混合A,混合型-灵活,GUOTOURUIYINYILIAOBAOJIANHUNHEA
000524,MGMSXQGPA,摩根民生需求股票A,股票型,MOGENMINSHENGXUQIUGUPIAOA
000526,GTNYLHPZHHA,国泰浓益灵活配置混合A,混合型-灵活,GUOTAINONGYILINGHUOPEIZHIHUNHEA
000527,NFXYXLHPZHHA,南方新优享灵活配置混合A,混合型-灵活,NANFANGXINYOUXIANGLINGHUOPEIZHIHUNHEA
000529,GFJZYSHHA,广发竞争优势混合A,混合型-灵活,GUANGFAJINGZHENGYOUSHIHUNHEA
000530,ZSFSWDZZHHA,招商丰盛稳定增长混合A,混合型-灵活,ZHAOSHANGFENGSHENGWENDINGZENGZHANGHUNHEA
000531,DWAEFLHPZHHA,东吴阿尔法灵活配置混合A,混合型-灵活,DONGWUAERFALINGHUOPEIZHIHUNHEA
000532,JSCCYSQYHHA,景顺长城优势企业混合A,混合型-偏股,JINGSHUNCHANGCHENGYOUSHIQIYEHUNHEA
000534,CSGDZBHHA,长盛高端装备混合A,混合型-灵活,CHANGSHENGGAODUANZHUANGBEIHUNHEA
000535,CSHTHGHHA,长盛航天海工混合A,混合型-灵活,CHANGSHENGHANGTIANHAIGONGHUNHEA
000538,NAYSHYHHA,诺安优势行业混合A,混合型-灵活,NUOANYOUSHIHANGYEHUNHEA
000541,HSCXCZHHFQSA,华商创新成长混合发起式A,混合型-灵活,HUASHANGCHUANGXINCHENGZHANGHUNHEFAQISHIA
000545,ZYHXJZLLHPZHH,中邮核心竞争力灵活配置混合,混合型-灵活,ZHONGYOUHEXINJINGZHENGLILINGHUOPEIZHIHUNHE
000547,JXJKMSHHA,建信健康民生混合A,混合型-偏股,JIANXINJIANKANGMINSHENGHUNHEA
000549,HADGXJJGPA,华安大国新经济股票A,股票型,HUAANDAGUOXINJINGJIGUPIAOA
000550,GFXDLHHA,广发新动力混合A,混合型-偏股,GUANGFAXINDONGLIHUNHEA
000551,ZXBCXFXFHHA,中信保诚幸福消费混合A,混合型-偏股,ZHONGXINBAOCHENGXINGFUXIAOFEIHUNHEA
000554,NFZGMLHPZHHA,南方中国梦灵活配置混合A,混合型-灵活,NANFANGZHONGGUOMENGLINGHUOPEIZHIHUNHEA
000556,GTRYXJYLHPZHHA,国投瑞银新机遇灵活配置混合A,混合型-灵活,GUOTOURUIYINXINJIYULINGHUOPEIZHIHUNHEA
000557,GTRYXJYLHPZHHC,国投瑞银新机遇灵活配置混合C,混合型-灵活,GUOTOURUIYINXINJIYULINGHUOPEIZHIHUNHEC
000565,FGYLBJHYHHA,富国医疗保健行业混合A(后端),混合型-偏股,FUGUOYILIAOBAOJIANHANGYEHUNHEA
000566,HTBRCXSJHHA,华泰柏瑞创新升级混合A,混合型-灵活,HUATAIBAIRUICHUANGXINSHENGJIHUNHEA
000567,GFJXLHHH,广发聚祥灵活混合,混合型-灵活,GUANGFAJUXIANGLINGHUOHUNHE
000572,ZYDCLHHA,中银多策略混合A,混合型-灵活,ZHONGYINDUOCELUEHUNHEA
000573,THTLHHA,天弘通利混合A,混合型-灵活,TIANHONGTONGLIHUNHEA
000574,BYXJZHHA,宝盈新价值混合A,混合型-灵活,BAOYINGXINJIAZHIHUNHEA
000577,AXJZJXGPA,安信价值精选股票A,股票型,ANXINJIAZHIJINGXUANGUPIAOA
000584,XHXYLHPZHHC,新华鑫益灵活配置混合C,混合型-灵活,XINHUAXINYILINGHUOPEIZHIHUNHEC
000586,JSCCZXCJXGPA,景顺长城中小创精选股票A,股票型,JINGSHUNCHANGCHENGZHONGXIAOCHUANGJINGXUANGUPIAOA
000587,DCLHPZHHA,大成灵活配置混合A,混合型-灵活,DACHENGLINGHUOPEIZHIHUNHEA
000589,GDYFSJHHA,光大银发商机混合A,混合型-偏股,GUANGDAYINFASHANGJIHUNHEA
000590,HAXHLLHPZHHA,华安新活力灵活配置混合A,混合型-灵活,HUAANXINHUOLILINGHUOPEIZHIHUNHEA
000591,ZYJKSHHHA,中银健康生活混合A,混合型-偏股,ZHONGYINJIANKANGSHENGHUOHUNHEA
000592,JXGGHLGPA,建信改革红利股票A,股票型,JIANXINGAIGEHONGLIGUPIAOA
000594,DMJQYXGP,大摩进取优选股票,股票型,DAMOJINQUYOUXUANGUPIAO
000595,JSTHHH,嘉实泰和混合,混合型-灵活,JIASHITAIHEHUNHE
000597,ZHJJSYHH,中海积极收益混合,混合型-灵活,ZHONGHAIJIJISHOUYIHUNHE
000598,CSSTHJHHA,长盛生态环境混合A,混合型-灵活,CHANGSHENGSHENGTAIHUANJINGHUNHEA
000601,HBCXYXHH,华宝创新优选混合,混合型-偏股,HUABAOCHUANGXINYOUXUANHUNHE
000603,YFDCXQDLHPZHH,易方达创新驱动灵活配置混合,混合型-灵活,YIFANGDACHUANGXINQUDONGLINGHUOPEIZHIHUNHE
000609,HSXLHHHA,华商新量化混合A,混合型-灵活,HUASHANGXINLIANGHUAHUNHEA
000612,HBSTZGHHA,华宝生态中国混合A,混合型-偏股,HUABAOSHENGTAIZHONGGUOHUNHEA
000619,DFHCYSJHH,东方红产业升级混合,混合型-灵活,DONGFANGHONGCHANYESHENGJIHUNHE
000628,DCGXGPA,大成高鑫股票A,股票型,DACHENGGAOXINGUPIAOA
000634,FGTSLHPZJJ,富国天盛灵活配置基金,混合型-灵活,FUGUOTIANSHENGLINGHUOPEIZHIJIJIN
000635,FGTSLHPZJJ,富国天盛灵活配置基金(后端),混合型-灵活,FUGUOTIANSHENGLINGHUOPEIZHIJIJIN
000646,HRYDLHYXHHA,华润元大量化优选混合A,混合型-偏股,HUARUNYUANDALIANGHUAYOUXUANHUNHEA
000649,CCJXHHA,长城久鑫混合A,混合型-灵活,CHANGCHENGJIUXINHUNHEA
000652,BSYLLHPZHHA,博时裕隆灵活配置混合A,混合型-灵活,BOSHIYULONGLINGHUOPEIZHIHUNHEA
000654,HSXRCYHH,华商新锐产业混合,混合型-灵活,HUASHANGXINRUICHANYEHUNHE
000663,GTRYMLZGHHA,国投瑞银美丽中国混合A,混合型-灵活,GUOTOURUIYINMEILIZHONGGUOHUNHEA
000664,GLATYHHA,国联安通盈混合A,混合型-灵活,GUOLIANANTONGYINGHUNHEA
000679,ZSFLLHPZHHA,招商丰利灵活配置混合A,混合型-灵活,ZHAOSHANGFENGLILINGHUOPEIZHIHUNHEA
000684,CSYLJKHHA,长盛养老健康混合A,混合型-灵活,CHANGSHENGYANGLAOJIANKANGHUNHEA
000688,JSCCYJJXGPA,景顺长城研究精选股票A,股票型,JINGSHUNCHANGCHENGYANJIUJINGXUANGUPIAOA
000689,QHKYXJJHHA,前海开源新经济混合A,混合型-灵活,QIANHAIKAIYUANXINJINGJIHUNHEA
000690,QHKYDHYHH,前海开源大海洋混合,混合型-灵活,QIANHAIKAIYUANDAHAIYANGHUNHE
000696,HTFHBHYGP,汇添富环保行业股票,股票型,HUITIANFUHUANBAOHANGYEGUPIAO
000697,HTFYDHLGPA,汇添富移动互联股票A,股票型,HUITIANFUYIDONGHULIANGUPIAOA
000698,BYKJ30HH,宝盈科技30混合,混合型-灵活,BAOYINGKEJI30HUNHE
000706,ZYDCLLHPZHH,中邮多策略灵活配置混合,混合型-灵活,ZHONGYOUDUOCELUELINGHUOPEIZHIHUNHE
000711,JSYLBJGP,嘉实医疗保健股票,股票型,JIASHIYILIAOBAOJIANGUPIAO
000714,NAWJHBHHA,诺安稳健回报混合A,混合型-灵活,NUOANWENJIANHUIBAOHUNHEA
000717,RTZXSDLLHPZHHA,融通转型三动力灵活配置混合A,混合型-灵活,RONGTONGZHUANXINGSANDONGLILINGHUOPEIZHIHUNHEA
000718,RTZXSDLLHPZHHA,融通转型三动力灵活配置混合A(后端),混合型-灵活,RONGTONGZHUANXINGSANDONGLILINGHUOPEIZHIHUNHEA
000727,RTJKCYLHPZHHAB,融通健康产业灵活配置混合A/B,混合型-灵活,RONGTONGJIANKANGCHANYELINGHUOPEIZHIHUNHEAB
000729,JXZXPXFGPA,建信中小盘先锋股票A,股票型,JIANXINZHONGXIAOPANXIANFENGGUPIAOA
000731,RTJKCYLHPZHHAB,融通健康产业灵活配置混合A/B(后端),混合型-灵活,RONGTONGJIANKANGCHANYELINGHUOPEIZHIHUNHEAB
000739,PAXXXFA,平安新鑫先锋A,混合型-灵活,PINGANXINXINXIANFENGA
000742,GTXJJLHPZHHA,国泰新经济灵活配置混合A,混合型-灵活,GUOTAIXINJINGJILINGHUOPEIZHIHUNHEA
000743,HTHTSSPYHHFQS,红塔红土盛世普益混合发起式,混合型-灵活,HONGTAHONGTUSHENGSHIPUYIHUNHEFAQISHI
000746,ZSHYJXGPJJ,招商行业精选股票基金,股票型,ZHAOSHANGHANGYEJINGXUANGUPIAOJIJIN
000747,GFNXCLHHA,广发逆向策略混合A,混合型-灵活,GUANGFANIXIANGCELUEHUNHEA
000751,JSXXCYGP,嘉实新兴产业股票,股票型,JIASHIXINXINGCHANYEGUPIAO
000755,FADXXCZHHA,富安达新兴成长混合A,混合型-灵活,FUANDAXINXINGCHENGZHANGHUNHEA
000756,JXQLXLCGPA,建信潜力新蓝筹股票A,股票型,JIANXINQIANLIXINLANCHOUGUPIAOA
000757,HFZHCSLHPZHHA,华富智慧城市灵活配置混合A,混合型-灵活,HUAFUZHIHUICHENGSHILINGHUOPEIZHIHUNHEA
000761,GFJKYZSHGP,国富健康优质生活股票,股票型,GUOFUJIANKANGYOUZHISHENGHUOGUPIAO
000763,GYXCFLHPZHH,工银新财富灵活配置混合,混合型-灵活,GONGYINXINCAIFULINGHUOPEIZHIHUNHE
000767,HFGTMALHPZHHA,华富国泰民安灵活配置混合A,混合型-灵活,HUAFUGUOTAIMINANLINGHUOPEIZHIHUNHEA
000772,JSCCZGHBHHA,景顺长城中国回报混合A,混合型-灵活,JINGSHUNCHANGCHENGZHONGGUOHUIBAOHUNHEA
000778,PHXJZZGP,鹏华先进制造股票,股票型,PENGHUAXIANJINZHIZAOGUPIAO
000780,PHYLBJGP,鹏华医疗保健股票,股票型,PENGHUAYILIAOBAOJIANGUPIAO
000788,QHKYZGCZHH,前海开源中国成长混合,混合型-灵活,QIANHAIKAIYUANZHONGGUOCHENGZHANGHUNHE
000793,GYGDZZGP,工银高端制造股票,股票型,GONGYINGAODUANZHIZAOGUPIAO
000794,BYRFCXHHAB,宝盈睿丰创新混合A/B,混合型-灵活,BAOYINGRUIFENGCHUANGXINHUNHEAB
000795,BYRFCXHHAB,宝盈睿丰创新混合A/B(后端),混合型-灵活,BAOYINGRUIFENGCHUANGXINHUNHEAB
000796,BYRFCXHHC,宝盈睿丰创新混合C,混合型-灵活,BAOYINGRUIFENGCHUANGXINHUNHEC
000800,HSWLZTHH,华商未来主题混合,混合型-偏股,HUASHANGWEILAIZHUTIHUNHE
000803,GYYJJXGP,工银研究精选股票,股票型,GONGYINYANJIUJINGXUANGUPIAO
000805,ZYXJJLHPZHHA,中银新经济灵活配置混合A,混合型-灵活,ZHONGYINXINJINGJILINGHUOPEIZHIHUNHEA
000822,DHMLZGA,东海美丽中国A,混合型-灵活,DONGHAIMEILIZHONGGUOA
000823,YHGDZZYHHA,银华高端制造业混合A,混合型-灵活,YINHUAGAODUANZHIZAOYEHUNHEA
000824,YXYFSLA,圆信永丰双利A,混合型-灵活,YUANXINYONGFENGSHUANGLIA
000825,YXYFSLC,圆信永丰双利C,混合型-灵活,YUANXINYONGFENGSHUANGLIC
000828,HLZXJYGPA,宏利转型机遇股票A,股票型,HONGLIZHUANXINGJIYUGUPIAOA
000831,GYYLBJGP,工银医疗保健股票,股票型,GONGYINYILIAOBAOJIANGUPIAO
000841,FGXHBLHPZHHAB,富国新回报灵活配置混合A/B,混合型-灵活,FUGUOXINHUIBAOLINGHUOPEIZHIHUNHEAB
000842,FGXHBLHPZHHAB,富国新回报灵活配置混合A/B(后端),混合型-灵活,FUGUOXINHUIBAOLINGHUOPEIZHIHUNHEAB
000843,FGXHBLHPZHHC,富国新回报灵活配置混合C,混合型-灵活,FUGUOXINHUIBAOLINGHUOPEIZHIHUNHEC
000845,GTRYXXXFHHA,国投瑞银信息消费混合A,混合型-灵活,GUOTOURUIYINXINXIXIAOFEIHUNHEA
000849,HFJXSHCLHHA,汇丰晋信双核策略混合A,混合型-灵活,HUIFENGJINXINSHUANGHECELUEHUNHEA
000850,HFJXSHCLHHC,汇丰晋信双核策略混合C,混合型-灵活,HUIFENGJINXINSHUANGHECELUEHUNHEC
000854,PHYLCYGP,鹏华养老产业股票,股票型,PENGHUAYANGLAOCHANYEGUPIAO
000866,HBZZGP,华宝制造股票,股票型,HUABAOZHIZAOGUPIAO
000867,HBPZSHGP,华宝品质生活股票,股票型,HUABAOPINZHISHENGHUOGUPIAO
000870,JSXSYHH,嘉实新收益混合,混合型-灵活,JIASHIXINSHOUYIHUNHE
000877,HTBRLHYXHH,华泰柏瑞量化优选混合,混合型-灵活,HUATAIBAIRUILIANGHUAYOUXUANHUNHE
000878,ZHYYJKCYJXHHA,中海医药健康产业精选混合A,混合型-灵活,ZHONGHAIYIYAOJIANKANGCHANYEJINGXUANHUNHEA
000879,ZHYYJKCYJXHHC,中海医药健康产业精选混合C,混合型-灵活,ZHONGHAIYIYAOJIANKANGCHANYEJINGXUANHUNHEC
000880,FGYJJXLHPZHHA,富国研究精选灵活配置混合A,混合型-灵活,FUGUOYANJIUJINGXUANLINGHUOPEIZHIHUNHEA
000884,MSJYYXGP,民生加银优选股票,股票型,MINSHENGJIAYINYOUXUANGUPIAO
000892,JTTBLHPZHHA,九泰天宝灵活配置混合A,混合型-灵活,JIUTAITIANBAOLINGHUOPEIZHIHUNHEA
000893,GYCXDLGP,工银创新动力股票,股票型,GONGYINCHUANGXINDONGLIGUPIAO
000904,YHHBDKHH,银华回报定开混合,混合型-灵活,YINHUAHUIBAODINGKAIHUNHE
000913,NYYLBJGP,农银医疗保健股票,股票型,NONGYINYILIAOBAOJIANGUPIAO
000916,QHKYGXL100QGPA,前海开源股息率100强股票A,股票型,QIANHAIKAIYUANGUXILV100QIANGGUPIAOA
000924,BYXJZZHHA,宝盈先进制造混合A,混合型-灵活,BAOYINGXIANJINZHIZAOHUNHEA
000925,HTFWYZZGPA,汇添富外延增长股票A,股票型,HUITIANFUWAIYANZENGZHANGGUPIAOA
000926,ZXJTRXLHPZHHA,中信建投睿信灵活配置混合A,混合型-灵活,ZHONGXINJIANTOURUIXINLINGHUOPEIZHIHUNHEA
000928,GLGQGGHHA,国联国企改革混合A,混合型-灵活,GUOLIANGUOQIGAIGEHUNHEA
000935,ZSHJZXCZ,浙商汇金转型成长,混合型-灵活,ZHESHANGHUIJINZHUANXINGCHENGZHANG
000936,BSCYXDLHHA,博时产业新动力混合A,混合型-灵活,BOSHICHANYEXINDONGLIHUNHEA
000939,ZYYJJXLHPZHHA,中银研究精选灵活配置混合A,混合型-灵活,ZHONGYINYANJIUJINGXUANLINGHUOPEIZHIHUNHEA
000940,FGZXPJXHHA,富国中小盘精选混合A,混合型-偏股,FUGUOZHONGXIAOPANJINGXUANHUNHEA
000941,FGZXPJXHHA,富国中小盘精选混合A(后端),混合型-偏股,FUGUOZHONGXIAOPANJINGXUANHUNHEA
000945,HXYLJKHHA,华夏医疗健康混合A,混合型-灵活,HUAXIAYILIAOJIANKANGHUNHEA
000946,HXYLJKHHC,华夏医疗健康混合C,混合型-灵活,HUAXIAYILIAOJIANKANGHUNHEC
000955,NFCYHL,南方产业活力,股票型,NANFANGCHANYEHUOLI
000960,ZSYYJKCYGP,招商医药健康产业股票,股票型,ZHAOSHANGYIYAOJIANKANGCHANYEGUPIAO
000963,XYDCLHH,兴业多策略混合,混合型-灵活,XINGYEDUOCELUEHUNHE
000965,HFJXXDLHHA,汇丰晋信新动力混合A,混合型-偏股,HUIFENGJINXINXINDONGLIHUNHEA
000966,ZYHXKJCXLHPZHH,中邮核心科技创新灵活配置混合,混合型-灵活,ZHONGYOUHEXINKEJICHUANGXINLINGHUOPEIZHIHUNHE
000967,HTBRCXDLHH,华泰柏瑞创新动力混合,混合型-灵活,HUATAIBAIRUICHUANGXINDONGLIHUNHE
000969,QHKYDAQHH,前海开源大安全混合,混合型-灵活,QIANHAIKAIYUANDAANQUANHUNHE
000970,DFHRYHH,东方红睿元混合,混合型-灵活,DONGFANGHONGRUIYUANHUNHE
000971,NAXJJGP,诺安新经济股票,股票型,NUOANXINJINGJIGUPIAO
